Library,month,issues
Blakelaw,2008-04,1048
Blakelaw,2008-05,1017
Blakelaw,2008-06,1042
Blakelaw,2008-07,911
Blakelaw,2008-08,919
Blakelaw,2008-09,1037
Blakelaw,2008-10,1280
Blakelaw,2008-11,1020
Blakelaw,2008-12,644
Blakelaw,2009-01,895
Blakelaw,2009-02,829
Blakelaw,2009-03,984
Blakelaw,2009-04,768
Blakelaw,2009-05,793
Blakelaw,2009-06,1107
Blakelaw,2009-07,1011
Blakelaw,2009-08,967
Blakelaw,2009-09,801
Blakelaw,2009-10,1094
Blakelaw,2009-11,1017
Blakelaw,2009-12,425
Blakelaw,2010-01,745
Blakelaw,2010-02,912
Blakelaw,2010-03,894
Blakelaw,2010-04,873
Blakelaw,2010-05,943
Blakelaw,2010-06,882
Blakelaw,2010-07,1103
Blakelaw,2010-08,972
Blakelaw,2010-09,799
Blakelaw,2010-10,759
Blakelaw,2010-11,671
Blakelaw,2010-12,512
Blakelaw,2011-01,831
Blakelaw,2011-02,1058
Blakelaw,2011-03,868
Blakelaw,2011-04,778
Blakelaw,2011-05,729
Blakelaw,2011-06,637
Blakelaw,2011-07,689
Blakelaw,2011-08,927
Blakelaw,2011-09,1127
Blakelaw,2011-10,774
Blakelaw,2011-11,662
Blakelaw,2011-12,296
Blakelaw,2012-01,580
Blakelaw,2012-02,483
Blakelaw,2012-03,653
Blakelaw,2012-04,480
Blakelaw,2012-05,511
Blakelaw,2012-06,432
Blakelaw,2012-07,630
Blakelaw,2012-08,614
Blakelaw,2012-09,436
Blakelaw,2012-10,479
Blakelaw,2012-11,512
Blakelaw,2012-12,371
Blakelaw,2013-01,558
Blakelaw,2013-02,604
Blakelaw,2013-03,535
Blakelaw,2013-04,554
Blakelaw,2013-05,438
Blakelaw,2013-06,520
Blakelaw,2013-07,638
Blakelaw,2013-08,684
Blakelaw,2013-09,513
Blakelaw,2013-10,653
Blakelaw,2013-11,433
Blakelaw,2013-12,328
Blakelaw,2014-01,443
Blakelaw,2014-02,474
Blakelaw,2014-03,425
Blakelaw,2014-04,319
Blakelaw,2014-05,444
Blakelaw,2014-06,403
Blakelaw,2014-07,286
Blakelaw,2014-08,400
Blakelaw,2014-09,389
Blakelaw,2014-10,387
Blakelaw,2014-11,330
Blakelaw,2014-12,215
Blakelaw,2015-01,303
Blakelaw,2015-02,197
Blakelaw,2015-03,314
Blakelaw,2015-04,200
Blakelaw,2015-05,238
Blakelaw,2015-06,451
Blakelaw,2015-07,377
Blakelaw,2015-08,244
Blakelaw,2015-09,245
Blakelaw,2015-10,247
Blakelaw,2015-11,233
Blakelaw,2015-12,147
Blakelaw,2016-01,208
Blakelaw,2016-02,61
Blakelaw,2016-03,245
Blakelaw,2016-04,253
Blakelaw,2016-05,245
Blakelaw,2016-06,196
Blakelaw,2016-07,357
Blakelaw,2016-08,323
Blakelaw,2016-09,301
Blakelaw,2016-10,292
Blakelaw,2016-11,380
City,2008-04,4490
City,2008-05,4424
City,2008-06,4606
City,2008-07,5709
City,2008-08,4555
City,2008-09,4028
City,2008-10,3716
City,2008-11,3167
City,2008-12,2989
City,2009-01,5583
City,2009-02,2910
City,2009-03,3594
City,2009-04,1819
City,2009-05,1786
City,2009-06,43772
City,2009-07,56618
City,2009-08,56341
City,2009-09,52201
City,2009-10,54330
City,2009-11,44899
City,2009-12,41417
City,2010-01,47498
City,2010-02,44914
City,2010-03,51337
City,2010-04,46706
City,2010-05,41889
City,2010-06,42342
City,2010-07,48554
City,2010-08,47413
City,2010-09,45046
City,2010-10,47212
City,2010-11,37609
City,2010-12,37543
City,2011-01,39156
City,2011-02,39265
City,2011-03,40955
City,2011-04,33268
City,2011-05,37602
City,2011-06,38218
City,2011-07,38357
City,2011-08,39910
City,2011-09,35562
City,2011-10,39191
City,2011-11,32278
City,2011-12,28948
City,2012-01,34302
City,2012-02,33526
City,2012-03,34689
City,2012-04,32151
City,2012-05,32481
City,2012-06,30228
City,2012-07,32577
City,2012-08,32563
City,2012-09,29938
City,2012-10,32242
City,2012-11,28813
City,2012-12,23820
City,2013-01,30245
City,2013-02,26657
City,2013-03,27659
City,2013-04,29635
City,2013-05,31768
City,2013-06,28154
City,2013-07,33636
City,2013-08,32621
City,2013-09,27649
City,2013-10,30096
City,2013-11,26288
City,2013-12,21563
City,2014-01,27279
City,2014-02,24654
City,2014-03,26158
City,2014-04,24088
City,2014-05,24451
City,2014-06,20426
City,2014-07,22796
City,2014-08,23461
City,2014-09,21478
City,2014-10,22948
City,2014-11,19398
City,2014-12,18172
City,2015-01,21581
City,2015-02,19400
City,2015-03,20425
City,2015-04,20125
City,2015-05,15559
City,2015-06,19809
City,2015-07,20976
City,2015-08,19365
City,2015-09,19449
City,2015-10,19246
City,2015-11,17124
City,2015-12,15250
City,2016-01,18596
City,2016-02,17885
City,2016-03,17467
City,2016-04,17682
City,2016-05,16301
City,2016-06,17180
City,2016-07,17852
City,2016-08,18975
City,2016-09,16708
City,2016-10,17315
City,2016-11,14784
Cruddas Park,2008-04,1477
Cruddas Park,2008-05,1457
Cruddas Park,2008-06,1377
Cruddas Park,2008-07,1697
Cruddas Park,2008-08,1749
Cruddas Park,2008-09,1522
Cruddas Park,2008-10,1563
Cruddas Park,2008-11,1498
Cruddas Park,2008-12,909
Cruddas Park,2009-01,1566
Cruddas Park,2009-02,1352
Cruddas Park,2009-03,1267
Cruddas Park,2009-04,1517
Cruddas Park,2009-05,1023
Cruddas Park,2009-06,1281
Cruddas Park,2009-07,1164
Cruddas Park,2009-08,1085
Cruddas Park,2009-09,1227
Cruddas Park,2009-10,1111
Cruddas Park,2009-11,1144
Cruddas Park,2009-12,1119
Cruddas Park,2010-01,1252
Cruddas Park,2010-02,1191
Cruddas Park,2010-03,1200
Cruddas Park,2010-04,1218
Cruddas Park,2010-05,841
Cruddas Park,2010-06,1120
Cruddas Park,2010-07,1145
Cruddas Park,2010-08,1239
Cruddas Park,2010-09,997
Cruddas Park,2010-10,929
Cruddas Park,2010-11,1232
Cruddas Park,2010-12,682
Cruddas Park,2011-01,1101
Cruddas Park,2011-02,939
Cruddas Park,2011-03,1240
Cruddas Park,2011-04,931
Cruddas Park,2011-05,999
Cruddas Park,2011-06,1141
Cruddas Park,2011-07,1033
Cruddas Park,2011-08,1404
Cruddas Park,2011-09,1217
Cruddas Park,2011-10,1104
Cruddas Park,2011-11,1151
Cruddas Park,2011-12,958
Cruddas Park,2012-01,1081
Cruddas Park,2012-02,878
Cruddas Park,2012-03,1149
Cruddas Park,2012-04,954
Cruddas Park,2012-05,930
Cruddas Park,2012-06,990
Cruddas Park,2012-07,1064
Cruddas Park,2012-08,948
Cruddas Park,2012-09,762
Cruddas Park,2012-10,748
Cruddas Park,2012-11,939
Cruddas Park,2012-12,539
Cruddas Park,2013-01,761
Cruddas Park,2013-02,751
Cruddas Park,2013-03,655
Cruddas Park,2013-04,684
Cruddas Park,2013-05,693
Cruddas Park,2013-06,391
Cruddas Park,2013-07,10
Cruddas Park,2013-08,27
Cruddas Park,2013-10,5
Cruddas Park,2013-11,0
Cruddas Park,2013-12,0
Cruddas Park,2014-04,0
Cruddas Park,2014-05,0
Cruddas Park,2014-06,311
Cruddas Park,2014-07,676
Cruddas Park,2014-08,803
Cruddas Park,2014-09,574
Cruddas Park,2014-10,577
Cruddas Park,2014-11,503
Cruddas Park,2014-12,308
Cruddas Park,2015-01,503
Cruddas Park,2015-02,544
Cruddas Park,2015-03,526
Cruddas Park,2015-04,456
Cruddas Park,2015-05,272
Cruddas Park,2015-06,546
Cruddas Park,2015-07,475
Cruddas Park,2015-08,507
Cruddas Park,2015-09,587
Cruddas Park,2015-10,410
Cruddas Park,2015-11,465
Cruddas Park,2015-12,278
Cruddas Park,2016-01,511
Cruddas Park,2016-02,295
Cruddas Park,2016-03,358
Cruddas Park,2016-04,437
Cruddas Park,2016-05,355
Cruddas Park,2016-06,354
Cruddas Park,2016-07,523
Cruddas Park,2016-08,513
Cruddas Park,2016-09,563
Cruddas Park,2016-10,447
Cruddas Park,2016-11,479
Denton Burn,2008-04,4292
Denton Burn,2008-05,4276
Denton Burn,2008-06,3925
Denton Burn,2008-07,4544
Denton Burn,2008-08,5068
Denton Burn,2008-09,4366
Denton Burn,2008-10,4553
Denton Burn,2008-11,3729
Denton Burn,2008-12,2865
Denton Burn,2009-01,4018
Denton Burn,2009-02,3687
Denton Burn,2009-03,4121
Denton Burn,2009-04,4516
Denton Burn,2009-05,4166
Denton Burn,2009-06,4169
Denton Burn,2009-07,6117
Denton Burn,2009-08,5256
Denton Burn,2009-09,4463
Denton Burn,2009-10,4670
Denton Burn,2009-11,5240
Denton Burn,2009-12,3371
Denton Burn,2010-01,4782
Denton Burn,2010-02,3980
Denton Burn,2010-03,5861
Denton Burn,2010-04,4617
Denton Burn,2010-05,3522
Denton Burn,2010-06,4288
Denton Burn,2010-07,4544
Denton Burn,2010-08,4215
Denton Burn,2010-09,4826
Denton Burn,2010-10,4822
Denton Burn,2010-11,3385
Denton Burn,2010-12,3384
Denton Burn,2011-01,4955
Denton Burn,2011-02,6143
Denton Burn,2011-03,4805
Denton Burn,2011-04,3573
Denton Burn,2011-05,3825
Denton Burn,2011-06,3319
Denton Burn,2011-07,3235
Denton Burn,2011-08,3492
Denton Burn,2011-09,3208
Denton Burn,2011-10,3393
Denton Burn,2011-11,3248
Denton Burn,2011-12,2315
Denton Burn,2012-01,3076
Denton Burn,2012-02,2874
Denton Burn,2012-03,2962
Denton Burn,2012-04,2469
Denton Burn,2012-05,2631
Denton Burn,2012-06,2616
Denton Burn,2012-07,3098
Denton Burn,2012-08,3046
Denton Burn,2012-09,2617
Denton Burn,2012-10,2657
Denton Burn,2012-11,2565
Denton Burn,2012-12,1562
Denton Burn,2013-01,2296
Denton Burn,2013-02,2257
Denton Burn,2013-03,2390
Denton Burn,2013-04,2026
Denton Burn,2013-05,2205
Denton Burn,2013-06,1685
Denton Burn,2013-07,967
Denton Burn,2013-08,939
Denton Burn,2013-09,1015
Denton Burn,2013-10,963
Denton Burn,2013-11,889
Denton Burn,2013-12,770
Denton Burn,2014-01,1001
Denton Burn,2014-02,872
Denton Burn,2014-03,890
Denton Burn,2014-04,716
Denton Burn,2014-05,698
Denton Burn,2014-06,879
Denton Burn,2014-07,797
Denton Burn,2014-08,731
Denton Burn,2014-09,957
Denton Burn,2014-10,100
Denton Burn,2015-03,7
Denton Burn,2015-04,93
Denton Burn,2015-05,431
Denton Burn,2015-06,713
Denton Burn,2015-07,750
Denton Burn,2015-08,857
Denton Burn,2015-09,691
Denton Burn,2015-10,755
Denton Burn,2015-11,628
Denton Burn,2015-12,521
Denton Burn,2016-01,619
Denton Burn,2016-02,796
Denton Burn,2016-03,479
Denton Burn,2016-04,566
Denton Burn,2016-05,644
Denton Burn,2016-06,814
Denton Burn,2016-07,634
Denton Burn,2016-08,878
Denton Burn,2016-09,753
Denton Burn,2016-10,837
Denton Burn,2016-11,722
Dinnington,2008-04,952
Dinnington,2008-05,1005
Dinnington,2008-06,1038
Dinnington,2008-07,933
Dinnington,2008-08,1118
Dinnington,2008-09,948
Dinnington,2008-10,1146
Dinnington,2008-11,991
Dinnington,2008-12,616
Dinnington,2009-01,1010
Dinnington,2009-02,933
Dinnington,2009-03,917
Dinnington,2009-04,873
Dinnington,2009-05,1073
Dinnington,2009-06,1104
Dinnington,2009-07,1170
Dinnington,2009-08,974
Dinnington,2009-09,991
Dinnington,2009-10,1179
Dinnington,2009-11,1064
Dinnington,2009-12,944
Dinnington,2010-01,1155
Dinnington,2010-02,1080
Dinnington,2010-03,1158
Dinnington,2010-04,872
Dinnington,2010-05,1161
Dinnington,2010-06,1186
Dinnington,2010-07,1309
Dinnington,2010-08,900
Dinnington,2010-09,1429
Dinnington,2010-10,1503
Dinnington,2010-11,1239
Dinnington,2010-12,791
Dinnington,2011-01,1424
Dinnington,2011-02,1344
Dinnington,2011-03,1299
Dinnington,2011-04,1150
Dinnington,2011-05,1037
Dinnington,2011-06,1269
Dinnington,2011-07,1262
Dinnington,2011-08,1108
Dinnington,2011-09,1168
Dinnington,2011-10,1015
Dinnington,2011-11,1165
Dinnington,2011-12,905
Dinnington,2012-01,1079
Dinnington,2012-02,992
Dinnington,2012-03,1131
Dinnington,2012-04,788
Dinnington,2012-05,1110
Dinnington,2012-06,1474
Dinnington,2012-07,1165
Dinnington,2012-08,1033
Dinnington,2012-09,1045
Dinnington,2012-10,1098
Dinnington,2012-11,1019
Dinnington,2012-12,648
Dinnington,2013-01,816
Dinnington,2013-02,944
Dinnington,2013-03,952
Dinnington,2013-04,682
Dinnington,2013-05,698
Dinnington,2013-06,674
Dinnington,2013-07,23
Dinnington,2013-08,17
East End,2008-04,14443
East End,2008-05,13141
East End,2008-06,13661
East End,2008-07,13989
East End,2008-08,15210
East End,2008-09,13767
East End,2008-10,13182
East End,2008-11,11794
East End,2008-12,10131
East End,2009-01,12040
East End,2009-02,11371
East End,2009-03,12341
East End,2009-04,11795
East End,2009-05,11494
East End,2009-06,10268
East End,2009-07,10268
East End,2009-08,9411
East End,2009-09,9356
East End,2009-10,9936
East End,2009-11,8732
East End,2009-12,6505
East End,2010-01,8934
East End,2010-02,9117
East End,2010-03,9366
East End,2010-04,9551
East End,2010-05,8577
East End,2010-06,8923
East End,2010-07,9312
East End,2010-08,9786
East End,2010-09,8423
East End,2010-10,7310
East End,2010-11,8008
East End,2010-12,6484
East End,2011-01,8988
East End,2011-02,7876
East End,2011-03,9464
East End,2011-04,6891
East End,2011-05,9004
East End,2011-06,8233
East End,2011-07,8240
East End,2011-08,8447
East End,2011-09,7808
East End,2011-10,7585
East End,2011-11,6674
East End,2011-12,5317
East End,2012-01,7438
East End,2012-02,6981
East End,2012-03,7312
East End,2012-04,6688
East End,2012-05,7133
East End,2012-06,6622
East End,2012-07,7425
East End,2012-08,7579
East End,2012-09,6548
East End,2012-10,6997
East End,2012-11,6364
East End,2012-12,4954
East End,2013-01,6081
East End,2013-02,5385
East End,2013-03,5789
East End,2013-04,5564
East End,2013-05,6393
East End,2013-06,6069
East End,2013-07,7161
East End,2013-08,7079
East End,2013-09,6108
East End,2013-10,6736
East End,2013-11,6094
East End,2013-12,4448
East End,2014-01,5762
East End,2014-02,5362
East End,2014-03,5513
East End,2014-04,5061
East End,2014-05,4844
East End,2014-06,4602
East End,2014-07,4895
East End,2014-08,5699
East End,2014-09,5167
East End,2014-10,5122
East End,2014-11,4213
East End,2014-12,3495
East End,2015-01,4575
East End,2015-02,4161
East End,2015-03,4369
East End,2015-04,3796
East End,2015-05,2963
East End,2015-06,3566
East End,2015-07,4106
East End,2015-08,4264
East End,2015-09,4526
East End,2015-10,4283
East End,2015-11,3730
East End,2015-12,3088
East End,2016-01,4103
East End,2016-02,3750
East End,2016-03,3989
East End,2016-04,3807
East End,2016-05,727
East End,2016-06,1
East End,2016-07,874
East End,2016-08,1990
East End,2016-09,2301
East End,2016-10,2483
East End,2016-11,1881
Fawdon,2008-04,998
Fawdon,2008-05,1300
Fawdon,2008-06,1425
Fawdon,2008-07,1199
Fawdon,2008-08,1325
Fawdon,2008-09,1745
Fawdon,2008-10,1269
Fawdon,2008-11,797
Fawdon,2008-12,1122
Fawdon,2009-01,1190
Fawdon,2009-02,1133
Fawdon,2009-03,1248
Fawdon,2009-04,1307
Fawdon,2009-05,1146
Fawdon,2009-06,1183
Fawdon,2009-07,1196
Fawdon,2009-08,1111
Fawdon,2009-09,1213
Fawdon,2009-10,1363
Fawdon,2009-11,1111
Fawdon,2009-12,1009
Fawdon,2010-01,1168
Fawdon,2010-02,1030
Fawdon,2010-03,1331
Fawdon,2010-04,926
Fawdon,2010-05,1081
Fawdon,2010-06,1209
Fawdon,2010-07,1163
Fawdon,2010-08,819
Fawdon,2010-09,1120
Fawdon,2010-10,1134
Fawdon,2010-11,1297
Fawdon,2010-12,847
Fawdon,2011-01,1079
Fawdon,2011-02,996
Fawdon,2011-03,1224
Fawdon,2011-04,862
Fawdon,2011-05,1014
Fawdon,2011-06,1159
Fawdon,2011-07,1018
Fawdon,2011-08,952
Fawdon,2011-09,717
Fawdon,2011-10,665
Fawdon,2011-11,590
Fawdon,2011-12,499
Fawdon,2012-01,655
Fawdon,2012-02,632
Fawdon,2012-03,676
Fawdon,2012-04,780
Fawdon,2012-05,672
Fawdon,2012-06,521
Fawdon,2012-07,554
Fawdon,2012-08,552
Fawdon,2012-09,481
Fawdon,2012-10,549
Fawdon,2012-11,425
Fawdon,2012-12,351
Fawdon,2013-01,572
Fawdon,2013-02,413
Fawdon,2013-03,426
Fawdon,2013-04,334
Fawdon,2013-05,461
Fawdon,2013-06,377
Fawdon,2013-07,634
Fawdon,2013-08,475
Fawdon,2013-09,487
Fawdon,2013-10,398
Fawdon,2013-11,326
Fawdon,2013-12,201
Fawdon,2014-01,342
Fawdon,2014-02,255
Fawdon,2014-03,229
Fawdon,2014-04,247
Fawdon,2014-05,155
Fawdon,2014-06,222
Fawdon,2014-07,214
Fawdon,2014-08,245
Fawdon,2014-09,273
Fawdon,2014-10,242
Fawdon,2014-11,243
Fawdon,2014-12,131
Fawdon,2015-01,193
Fawdon,2015-02,164
Fawdon,2015-03,119
Fenham,2008-04,11273
Fenham,2008-05,8564
Fenham,2008-06,8535
Fenham,2008-07,9464
Fenham,2008-08,9414
Fenham,2008-09,9527
Fenham,2008-10,9344
Fenham,2008-11,8222
Fenham,2008-12,8130
Fenham,2009-01,8844
Fenham,2009-02,7436
Fenham,2009-03,7559
Fenham,2009-04,7366
Fenham,2009-05,7555
Fenham,2009-06,6792
Fenham,2009-07,6135
Fenham,2009-08,5789
Fenham,2009-09,6003
Fenham,2009-10,7637
Fenham,2009-11,6249
Fenham,2009-12,4052
Fenham,2010-01,5753
Fenham,2010-02,5921
Fenham,2010-03,5627
Fenham,2010-04,5514
Fenham,2010-05,5131
Fenham,2010-06,5804
Fenham,2010-07,6730
Fenham,2010-08,6726
Fenham,2010-09,6320
Fenham,2010-10,5834
Fenham,2010-11,5460
Fenham,2010-12,375
Fenham,2011-01,0
Fenham,2011-02,18
Fenham,2011-03,3563
Fenham,2011-04,3445
Fenham,2011-05,4282
Fenham,2011-06,3895
Fenham,2011-07,4405
Fenham,2011-08,5167
Fenham,2011-09,4475
Fenham,2011-10,4350
Fenham,2011-11,3938
Fenham,2011-12,3069
Fenham,2012-01,4243
Fenham,2012-02,3948
Fenham,2012-03,4373
Fenham,2012-04,3934
Fenham,2012-05,3946
Fenham,2012-06,4055
Fenham,2012-07,4501
Fenham,2012-08,4227
Fenham,2012-09,3773
Fenham,2012-10,4054
Fenham,2012-11,3870
Fenham,2012-12,2798
Fenham,2013-01,3347
Fenham,2013-02,3276
Fenham,2013-03,3300
Fenham,2013-04,2287
Fenham,2013-05,3682
Fenham,2013-06,3877
Fenham,2013-07,3867
Fenham,2013-08,3542
Fenham,2013-09,2813
Fenham,2013-10,1134
Fenham,2013-11,16
Fenham,2013-12,46
Fenham,2014-01,0
Fenham,2014-02,22
Fenham,2014-03,2613
Fenham,2014-04,2777
Fenham,2014-05,2546
Fenham,2014-06,2502
Fenham,2014-07,2676
Fenham,2014-08,2708
Fenham,2014-09,2395
Fenham,2014-10,2391
Fenham,2014-11,2041
Fenham,2014-12,1729
Fenham,2015-01,2212
Fenham,2015-02,2074
Fenham,2015-03,2260
Fenham,2015-04,1968
Fenham,2015-05,1639
Fenham,2015-06,1861
Fenham,2015-07,2608
Fenham,2015-08,2480
Fenham,2015-09,2237
Fenham,2015-10,2124
Fenham,2015-11,1967
Fenham,2015-12,1477
Fenham,2016-01,2065
Fenham,2016-02,1986
Fenham,2016-03,1967
Fenham,2016-04,2152
Fenham,2016-05,1338
Fenham,2016-06,1500
Fenham,2016-07,1611
Fenham,2016-08,1886
Fenham,2016-09,1666
Fenham,2016-10,1564
Fenham,2016-11,1387
Gosforth,2008-04,21548
Gosforth,2008-05,20575
Gosforth,2008-06,20987
Gosforth,2008-07,21823
Gosforth,2008-08,23465
Gosforth,2008-09,21263
Gosforth,2008-10,21313
Gosforth,2008-11,19264
Gosforth,2008-12,15364
Gosforth,2009-01,19692
Gosforth,2009-02,17932
Gosforth,2009-03,18988
Gosforth,2009-04,18323
Gosforth,2009-05,18318
Gosforth,2009-06,17402
Gosforth,2009-07,18827
Gosforth,2009-08,18353
Gosforth,2009-09,17519
Gosforth,2009-10,17386
Gosforth,2009-11,15811
Gosforth,2009-12,12195
Gosforth,2010-01,14429
Gosforth,2010-02,15671
Gosforth,2010-03,17029
Gosforth,2010-04,15758
Gosforth,2010-05,14877
Gosforth,2010-06,15281
Gosforth,2010-07,16613
Gosforth,2010-08,16981
Gosforth,2010-09,15755
Gosforth,2010-10,15253
Gosforth,2010-11,12976
Gosforth,2010-12,10740
Gosforth,2011-01,13674
Gosforth,2011-02,13197
Gosforth,2011-03,13704
Gosforth,2011-04,11938
Gosforth,2011-05,13046
Gosforth,2011-06,12901
Gosforth,2011-07,14014
Gosforth,2011-08,14955
Gosforth,2011-09,13354
Gosforth,2011-10,14131
Gosforth,2011-11,11812
Gosforth,2011-12,10609
Gosforth,2012-01,12588
Gosforth,2012-02,12128
Gosforth,2012-03,12978
Gosforth,2012-04,12070
Gosforth,2012-05,11520
Gosforth,2012-06,10970
Gosforth,2012-07,12727
Gosforth,2012-08,12902
Gosforth,2012-09,11240
Gosforth,2012-10,12116
Gosforth,2012-11,10213
Gosforth,2012-12,7881
Gosforth,2013-01,9093
Gosforth,2013-02,9067
Gosforth,2013-03,9388
Gosforth,2013-04,9273
Gosforth,2013-05,10704
Gosforth,2013-06,9753
Gosforth,2013-07,12130
Gosforth,2013-08,12883
Gosforth,2013-09,10116
Gosforth,2013-10,10042
Gosforth,2013-11,9495
Gosforth,2013-12,7460
Gosforth,2014-01,9522
Gosforth,2014-02,9194
Gosforth,2014-03,10220
Gosforth,2014-04,8603
Gosforth,2014-05,9029
Gosforth,2014-06,8277
Gosforth,2014-07,8750
Gosforth,2014-08,10009
Gosforth,2014-09,8853
Gosforth,2014-10,9173
Gosforth,2014-11,8185
Gosforth,2014-12,6787
Gosforth,2015-01,8439
Gosforth,2015-02,8001
Gosforth,2015-03,8871
Gosforth,2015-04,7680
Gosforth,2015-05,6239
Gosforth,2015-06,8282
Gosforth,2015-07,9504
Gosforth,2015-08,9434
Gosforth,2015-09,9084
Gosforth,2015-10,8453
Gosforth,2015-11,7792
Gosforth,2015-12,5860
Gosforth,2016-01,7580
Gosforth,2016-02,7682
Gosforth,2016-03,7282
Gosforth,2016-04,7771
Gosforth,2016-05,5430
Gosforth,2016-06,4835
Gosforth,2016-07,5808
Gosforth,2016-08,6271
Gosforth,2016-09,5400
Gosforth,2016-10,5897
Gosforth,2016-11,5677
High Heaton,2008-04,70
High Heaton,2008-05,57
High Heaton,2008-06,99
High Heaton,2008-07,78
High Heaton,2008-08,0
High Heaton,2008-09,3420
High Heaton,2008-10,6330
High Heaton,2008-11,5620
High Heaton,2008-12,3823
High Heaton,2009-01,5706
High Heaton,2009-02,5791
High Heaton,2009-03,5483
High Heaton,2009-04,5361
High Heaton,2009-05,5100
High Heaton,2009-06,4803
High Heaton,2009-07,5595
High Heaton,2009-08,5201
High Heaton,2009-09,5107
